web-scraper-order,web-scraper-start-url,Degrees,Degrees-href
"1589579786-772","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Art StudiesCIP6","https://datausa.io/profile/cip/general-art-studies"
"1589579786-792","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Drama & Theater ArtsCIP6","https://datausa.io/profile/cip/general-drama-theater-arts"
"1589579786-785","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","School Counseling & Guidance ServicesCIP6","https://datausa.io/profile/cip/school-counseling-guidance-services"
"1589579786-722","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Marketing & Marketing ManagementCIP6","https://datausa.io/profile/cip/general-marketing-marketing-management"
"1589579786-706","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Liberal Arts & SciencesCIP6","https://datausa.io/profile/cip/liberal-arts-sciences-6"
"1589579786-766","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Human ServicesCIP6","https://datausa.io/profile/cip/general-human-services-6"
"1589579786-744","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Emergency Medical Technician (EMT Paramedic)CIP6","https://datausa.io/profile/cip/emergency-medical-technician-emt-paramedic"
"1589579786-793","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Family Practice NurseCIP6","https://datausa.io/profile/cip/family-practice-nurse"
"1589579786-736","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Other Liberal Arts & Sciences, General Studies, & HumanitiesCIP6","https://datausa.io/profile/cip/other-liberal-arts-sciences-general-studies-humanities"
"1589579786-734","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Other Multidisciplinary StudiesCIP6","https://datausa.io/profile/cip/other-multidisciplinary-studies"
"1589579786-754","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Curriculum & InstructionCIP6","https://datausa.io/profile/cip/curriculum-instruction-6"
"1589579786-717","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General FinanceCIP6","https://datausa.io/profile/cip/general-finance"
"1589579786-729","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Computer & Information SciencesCIP6","https://datausa.io/profile/cip/general-computer-information-sciences-6"
"1589579786-759","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Child Care ProviderCIP6","https://datausa.io/profile/cip/child-care-provider"
"1589579786-707","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Registered NursingCIP6","https://datausa.io/profile/cip/registered-nursing"
"1589579786-708","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General PsychologyCIP6","https://datausa.io/profile/cip/general-psychology-6"
"1589579786-728","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Automobile Mechanics TechnologyCIP6","https://datausa.io/profile/cip/automobile-mechanics-technology"
"1589579786-730","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","LawCIP6","https://datausa.io/profile/cip/law-6"
"1589579786-748","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Special Education & TeachingCIP6","https://datausa.io/profile/cip/general-special-education-teaching"
"1589579786-732","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Computer ScienceCIP6","https://datausa.io/profile/cip/computer-science-6"
"1589579786-751","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Information TechnologyCIP6","https://datausa.io/profile/cip/information-technology"
"1589579786-747","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Dental AssistingCIP6","https://datausa.io/profile/cip/dental-assisting"
"1589579786-804","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","ArchitectureCIP6","https://datausa.io/profile/cip/architecture-6"
"1589579786-795","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Administrative Assistant & Secretarial ScienceCIP6","https://datausa.io/profile/cip/general-administrative-assistant-secretarial-science"
"1589579786-770","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Public HealthCIP6","https://datausa.io/profile/cip/general-public-health"
"1589579786-735","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General HistoryCIP6","https://datausa.io/profile/cip/general-history"
"1589579786-733","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Criminal Justice - Police ScienceCIP6","https://datausa.io/profile/cip/criminal-justice-police-science"
"1589579786-764","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Public AdministrationCIP6","https://datausa.io/profile/cip/public-administration-6"
"1589579786-739","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General EducationCIP6","https://datausa.io/profile/cip/general-education-6"
"1589579786-767","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Aesthetician & Skin Care SpecialistCIP6","https://datausa.io/profile/cip/aesthetician-skin-care-specialist"
"1589579786-756","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Truck, Bus, & Commercial Vehicle Operator & InstructorCIP6","https://datausa.io/profile/cip/truck-bus-commercial-vehicle-operator-instructor"
"1589579786-796","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Health Information & Medical Records TechnologyCIP6","https://datausa.io/profile/cip/health-information-medical-records-technology"
"1589579786-726","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Welding TechnologyCIP6","https://datausa.io/profile/cip/welding-technology"
"1589579786-791","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General MusicCIP6","https://datausa.io/profile/cip/general-music"
"1589579786-763","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Health ServicesCIP6","https://datausa.io/profile/cip/general-health-services"
"1589579786-753","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Social SciencesCIP6","https://datausa.io/profile/cip/general-social-sciences-6"
"1589579786-803","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Bioengineering & Biomedical EngineeringCIP6","https://datausa.io/profile/cip/bioengineering-biomedical-engineering"
"1589579786-783","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Management Information SystemsCIP6","https://datausa.io/profile/cip/general-management-information-systems"
"1589579786-774","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","International Relations & AffairsCIP6","https://datausa.io/profile/cip/international-relations-affairs"
"1589579786-778","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","ParalegalCIP6","https://datausa.io/profile/cip/paralegal"
"1589579786-721","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Speech Communication & RhetoricCIP6","https://datausa.io/profile/cip/speech-communication-rhetoric"
"1589579786-781","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Chemical EngineeringCIP6","https://datausa.io/profile/cip/chemical-engineering-6"
"1589579786-786","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Hospitality ManagementCIP6","https://datausa.io/profile/cip/general-hospitality-management"
"1589579786-743","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General MathematicsCIP6","https://datausa.io/profile/cip/general-mathematics"
"1589579786-775","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Computer Systems Networking & TelecommunicationsCIP6","https://datausa.io/profile/cip/computer-systems-networking-telecommunications"
"1589579786-789","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Mass Communication & Media StudiesCIP6","https://datausa.io/profile/cip/mass-communication-media-studies"
"1589579786-801","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Medical Insurance SpecialistCIP6","https://datausa.io/profile/cip/medical-insurance-specialist"
"1589579786-771","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","ElectricianCIP6","https://datausa.io/profile/cip/electrician"
"1589579786-731","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","SociologyCIP6","https://datausa.io/profile/cip/sociology-6"
"1589579786-797","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Counseling PsychologyCIP6","https://datausa.io/profile/cip/counseling-psychology"
"1589579786-779","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Medical Administrative AssistantCIP6","https://datausa.io/profile/cip/medical-administrative-assistant"
"1589579786-752","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Humanistic StudiesCIP6","https://datausa.io/profile/cip/humanistic-studies"
"1589579786-777","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Health & Physical EducationCIP6","https://datausa.io/profile/cip/general-health-physical-education"
"1589579786-745","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Biological & Physical SciencesCIP6","https://datausa.io/profile/cip/biological-physical-sciences-6"
"1589579786-799","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General CommunicationCIP6","https://datausa.io/profile/cip/general-communication"
"1589579786-757","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Culinary Arts & Chef TrainingCIP6","https://datausa.io/profile/cip/culinary-arts-chef-training"
"1589579786-711","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","AccountingCIP6","https://datausa.io/profile/cip/accounting-6"
"1589579786-724","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General EconomicsCIP6","https://datausa.io/profile/cip/general-economics"
"1589579786-762","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Other Business Administration, Management, & OperationsCIP6","https://datausa.io/profile/cip/other-business-administration-management-operations"
"1589579786-788","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Physical TherapyCIP6","https://datausa.io/profile/cip/physical-therapy"
"1589579786-761","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Massage TherapyCIP6","https://datausa.io/profile/cip/massage-therapy"
"1589579786-773","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Sport & Fitness ManagementCIP6","https://datausa.io/profile/cip/sport-fitness-management"
"1589579786-746","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Health Care Administration & ManagementCIP6","https://datausa.io/profile/cip/health-care-administration-management"
"1589579786-768","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","PharmacyCIP6","https://datausa.io/profile/cip/pharmacy"
"1589579786-760","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","HVAC MaintenanceCIP6","https://datausa.io/profile/cip/hvac-maintenance"
"1589579786-802","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Physical Education Teaching & CoachingCIP6","https://datausa.io/profile/cip/physical-education-teaching-coaching"
"1589579786-782","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Fine Studio ArtsCIP6","https://datausa.io/profile/cip/general-fine-studio-arts"
"1589579786-720","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Nursing Assistant & Patient Care AssistantCIP6","https://datausa.io/profile/cip/nursing-assistant-patient-care-assistant"
"1589579786-719","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Licensed Practical & Vocational Nurse TrainingCIP6","https://datausa.io/profile/cip/licensed-practical-vocational-nurse-training"
"1589579786-798","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Secondary Education & TeachingCIP6","https://datausa.io/profile/cip/secondary-education-teaching"
"1589579786-738","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Criminal Justice - Law Enforcement AdministrationCIP6","https://datausa.io/profile/cip/criminal-justice-law-enforcement-administration"
"1589579786-741","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Educational Leadership & AdministrationCIP6","https://datausa.io/profile/cip/general-educational-leadership-administration"
"1589579786-749","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Accounting Technology & BookkeepingCIP6","https://datausa.io/profile/cip/accounting-technology-bookkeeping"
"1589579786-742","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Kinesiology & Exercise ScienceCIP6","https://datausa.io/profile/cip/kinesiology-exercise-science"
"1589579786-790","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General PhysicsCIP6","https://datausa.io/profile/cip/general-physics"
"1589579786-723","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Political Science & GovernmentCIP6","https://datausa.io/profile/cip/general-political-science-government"
"1589579786-750","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General ChemistryCIP6","https://datausa.io/profile/cip/general-chemistry"
"1589579786-709","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General StudiesCIP6","https://datausa.io/profile/cip/general-studies"
"1589579786-716","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Criminal Justice - Safety StudiesCIP6","https://datausa.io/profile/cip/criminal-justice-safety-studies"
"1589579786-780","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Pharmacy TechnicianCIP6","https://datausa.io/profile/cip/pharmacy-technician"
"1589579786-712","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Medical AssistantCIP6","https://datausa.io/profile/cip/medical-assistant"
"1589579786-755","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Civil EngineeringCIP6","https://datausa.io/profile/cip/general-civil-engineering"
"1589579786-740","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Early Childhood Education & TeachingCIP6","https://datausa.io/profile/cip/early-childhood-education-teaching"
"1589579786-758","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","MedicineCIP6","https://datausa.io/profile/cip/medicine-6"
"1589579786-794","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Medical Insurance Coding SpecialistCIP6","https://datausa.io/profile/cip/medical-insurance-coding-specialist"
"1589579786-727","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Mechanical EngineeringCIP6","https://datausa.io/profile/cip/mechanical-engineering-6"
"1589579786-710","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Biological SciencesCIP6","https://datausa.io/profile/cip/general-biological-sciences"
"1589579786-714","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General BusinessCIP6","https://datausa.io/profile/cip/general-business"
"1589579786-725","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Elementary Education & TeachingCIP6","https://datausa.io/profile/cip/elementary-education-teaching"
"1589579786-787","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","AnthropologyCIP6","https://datausa.io/profile/cip/anthropology-6"
"1589579786-715","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Social WorkCIP6","https://datausa.io/profile/cip/social-work-6"
"1589579786-776","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","JournalismCIP6","https://datausa.io/profile/cip/journalism-6"
"1589579786-800","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Graphic DesignCIP6","https://datausa.io/profile/cip/graphic-design"
"1589579786-737","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Electrical & Electronics EngineeringCIP6","https://datausa.io/profile/cip/electrical-electronics-engineering"
"1589579786-769","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Information ScienceCIP6","https://datausa.io/profile/cip/information-science"
"1589579786-705","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Business Administration & ManagementCIP6","https://datausa.io/profile/cip/general-business-administration-management"
"1589579786-718","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General English Language & LiteratureCIP6","https://datausa.io/profile/cip/general-english-language-literature-6"
"1589579786-765","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General Human Resources Management & Personnel AdministrationCIP6","https://datausa.io/profile/cip/general-human-resources-management-personnel-administration"
"1589579786-713","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","General CosmetologyCIP6","https://datausa.io/profile/cip/general-cosmetology"
"1589579786-784","https://datausa.io/search?q=&dimension=CIP&hierarchy=CIP6","Spanish Language & LiteratureCIP6","https://datausa.io/profile/cip/spanish-language-literature"
