web-scraper-order,web-scraper-start-url,Industries,Industries-href
"1589579709-561","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Miscellaneous general merchandise storesIndustry Group","https://datausa.io/profile/naics/miscellaneous-general-merchandise-stores"
"1589579709-573","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Miscellaneous retail storesIndustry Group","https://datausa.io/profile/naics/miscellaneous-retail-stores"
"1589579709-513","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Real estateIndustry Group","https://datausa.io/profile/naics/real-estate"
"1589579709-508","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","HospitalsIndustry Group","https://datausa.io/profile/naics/hospitals"
"1589579709-512","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Insurance carriers & related activitiesIndustry Group","https://datausa.io/profile/naics/insurance-carriers-related-activities"
"1589579709-588","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Broadcasting (except internet)Industry Group","https://datausa.io/profile/naics/broadcasting-except-internet"
"1589579709-585","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Sporting goods, and hobby & toy stores Industry Group","https://datausa.io/profile/naics/sporting-goods-and-hobby-toy-stores-"
"1589579709-540","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Other health care servicesIndustry Group","https://datausa.io/profile/naics/other-health-care-services"
"1589579709-541","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Residential care facilities, except skilled nursing facilitiesIndustry Group","https://datausa.io/profile/naics/residential-care-facilities-except-skilled-nursing-facilities"
"1589579709-533","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Clothing storesIndustry Group","https://datausa.io/profile/naics/clothing-stores"
"1589579709-579","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Electronics storesIndustry Group","https://datausa.io/profile/naics/electronics-stores"
"1589579709-596","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Support activities for miningIndustry Group","https://datausa.io/profile/naics/support-activities-for-mining"
"1589579709-576","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Printing & related support activitiesIndustry Group","https://datausa.io/profile/naics/printing-related-support-activities"
"1589579709-584","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Pharmaceutical & medicine manufacturingIndustry Group","https://datausa.io/profile/naics/pharmaceutical-medicine-manufacturing"
"1589579709-591","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Animal slaughtering & processingIndustry Group","https://datausa.io/profile/naics/animal-slaughtering-processing"
"1589579709-566","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Gasoline stationsIndustry Group","https://datausa.io/profile/naics/gasoline-stations"
"1589579709-555","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Civic, social, advocacy organizations, & grantmaking & giving servicesIndustry Group","https://datausa.io/profile/naics/civic-social-advocacy-organizations-grantmaking-giving-services"
"1589579709-530","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Landscaping servicesIndustry Group","https://datausa.io/profile/naics/landscaping-services"
"1589579709-531","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Motor vehicles & motor vehicle equipment manufacturingIndustry Group","https://datausa.io/profile/naics/motor-vehicles-motor-vehicle-equipment-manufacturing"
"1589579709-550","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Services incidental to transportationIndustry Group","https://datausa.io/profile/naics/services-incidental-to-transportation"
"1589579709-517","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Banking & related activitiesIndustry Group","https://datausa.io/profile/naics/banking-related-activities"
"1589579709-571","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Animal production & aquacultureIndustry Group","https://datausa.io/profile/naics/animal-production-aquaculture"
"1589579709-525","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Services to buildings & dwellings (except cleaning during construction & immediately after construction)Industry Group","https://datausa.io/profile/naics/services-to-buildings-dwellings-except-cleaning-during-construction-immediately-after-construction"
"1589579709-526","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Legal servicesIndustry Group","https://datausa.io/profile/naics/legal-services"
"1589579709-529","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Home health care servicesIndustry Group","https://datausa.io/profile/naics/home-health-care-services"
"1589579709-516","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Department stores & discount storesIndustry Group","https://datausa.io/profile/naics/department-stores-discount-stores"
"1589579709-598","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Machinery, equipment, & supplies merchant wholesalers     Industry Group","https://datausa.io/profile/naics/machinery-equipment-supplies-merchant-wholesalers-"
"1589579709-590","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Other personal servicesIndustry Group","https://datausa.io/profile/naics/other-personal-services"
"1589579709-515","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Amusement & RecreationIndustry Group","https://datausa.io/profile/naics/amusement-recreation"
"1589579709-544","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Building material & supplies dealersIndustry Group","https://datausa.io/profile/naics/building-material-supplies-dealers"
"1589579709-587","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Automotive parts, accessories, & tire stores  Industry Group","https://datausa.io/profile/naics/automotive-parts-accessories-tire-stores-"
"1589579709-602","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Structural metals, & boiler, tank, & shipping container manufacturing Industry Group","https://datausa.io/profile/naics/structural-metals-boiler-tank-shipping-container-manufacturing-"
"1589579709-582","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Miscellaneous manufacturing, n.e.c.  Industry Group","https://datausa.io/profile/naics/miscellaneous-manufacturing-nec-"
"1589579709-542","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Securities, commodities, funds, trusts & other financial investmentsIndustry Group","https://datausa.io/profile/naics/securities-commodities-funds-trusts-other-financial-investments"
"1589579709-527","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Traveler accommodationIndustry Group","https://datausa.io/profile/naics/traveler-accommodation"
"1589579709-564","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Machinery manufacturing, n.e.c. or not specifiedIndustry Group","https://datausa.io/profile/naics/machinery-manufacturing-nec-or-not-specified"
"1589579709-578","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Administration of economic programs & space researchIndustry Group","https://datausa.io/profile/naics/administration-of-economic-programs-space-research"
"1589579709-509","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Colleges, universities & professional schools, including junior collegesIndustry Group","https://datausa.io/profile/naics/colleges-universities-professional-schools-including-junior-colleges"
"1589579709-514","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Computer Systems DesignIndustry Group","https://datausa.io/profile/naics/computer-systems-design"
"1589579709-570","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Furniture & home furnishings storesIndustry Group","https://datausa.io/profile/naics/furniture-home-furnishings-stores"
"1589579709-524","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Outpatient care centersIndustry Group","https://datausa.io/profile/naics/outpatient-care-centers"
"1589579709-603","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Electric lighting & electrical equipment manufacturing, & other electrical component manufacturing, n.e.c.Industry Group","https://datausa.io/profile/naics/electric-lighting-electrical-equipment-manufacturing-other-electrical-component-manufacturing-nec"
"1589579709-507","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Elementary & secondary schoolsIndustry Group","https://datausa.io/profile/naics/elementary-secondary-schools"
"1589579709-521","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Individual & family servicesIndustry Group","https://datausa.io/profile/naics/individual-family-services"
"1589579709-523","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Management, scientific & technical consulting servicesIndustry Group","https://datausa.io/profile/naics/management-scientific-technical-consulting-services"
"1589579709-535","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Employment servicesIndustry Group","https://datausa.io/profile/naics/employment-services"
"1589579709-506","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","ConstructionIndustry Group","https://datausa.io/profile/naics/construction-group"
"1589579709-551","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Administration of human resource programsIndustry Group","https://datausa.io/profile/naics/administration-of-human-resource-programs"
"1589579709-520","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Child day care servicesIndustry Group","https://datausa.io/profile/naics/child-day-care-services"
"1589579709-511","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Justice, public order, & safety activities Industry Group","https://datausa.io/profile/naics/justice-public-order-safety-activities-"
"1589579709-554","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Business support servicesIndustry Group","https://datausa.io/profile/naics/business-support-services"
"1589579709-537","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","FarmingIndustry Group","https://datausa.io/profile/naics/farming"
"1589579709-589","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Museums, art galleries, historical sites, & similar institutionsIndustry Group","https://datausa.io/profile/naics/museums-art-galleries-historical-sites-similar-institutions"
"1589579709-592","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Nail salons & other personal care servicesIndustry Group","https://datausa.io/profile/naics/nail-salons-other-personal-care-services"
"1589579709-547","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Pharmacies & drug storesIndustry Group","https://datausa.io/profile/naics/pharmacies-drug-stores"
"1589579709-580","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Taxi & limousine serviceIndustry Group","https://datausa.io/profile/naics/taxi-limousine-service"
"1589579709-594","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Plastics product manufacturingIndustry Group","https://datausa.io/profile/naics/plastics-product-manufacturing"
