web-scraper-order,web-scraper-start-url,Occupations,Occupations-href
"1589579748-639","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Financial managersDetailed Occupation","https://datausa.io/profile/soc/financial-managers"
"1589579748-662","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Human resources workersDetailed Occupation","https://datausa.io/profile/soc/human-resources-workers"
"1589579748-646","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Education administratorsDetailed Occupation","https://datausa.io/profile/soc/education-administrators"
"1589579748-625","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Childcare workersDetailed Occupation","https://datausa.io/profile/soc/childcare-workers"
"1589579748-694","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","BartendersDetailed Occupation","https://datausa.io/profile/soc/bartenders"
"1589579748-669","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Computer support specialistsDetailed Occupation","https://datausa.io/profile/soc/computer-support-specialists"
"1589579748-696","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Human resources managersDetailed Occupation","https://datausa.io/profile/soc/human-resources-managers"
"1589579748-689","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Computer systems analystsDetailed Occupation","https://datausa.io/profile/soc/computer-systems-analysts"
"1589579748-668","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Painters & paperhangersDetailed Occupation","https://datausa.io/profile/soc/painters-paperhangers"
"1589579748-641","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Lawyers, & judges, magistrates, & other judicial workersDetailed Occupation","https://datausa.io/profile/soc/lawyers-judges-magistrates-other-judicial-workers"
"1589579748-697","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Chefs & head cooksDetailed Occupation","https://datausa.io/profile/soc/chefs-head-cooks"
"1589579748-698","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Miscellaneous metal workers & plastic workers, including multiple machine tool settersDetailed Occupation","https://datausa.io/profile/soc/miscellaneous-metal-workers-plastic-workers-including-multiple-machine-tool-setters"
"1589579748-623","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Postsecondary teachersDetailed Occupation","https://datausa.io/profile/soc/postsecondary-teachers"
"1589579748-614","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Janitors & building cleanersDetailed Occupation","https://datausa.io/profile/soc/janitors-building-cleaners"
"1589579748-642","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Security guards & gaming surveillance officersDetailed Occupation","https://datausa.io/profile/soc/security-guards-gaming-surveillance-officers"
"1589579748-685","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Recreation & fitness workersDetailed Occupation","https://datausa.io/profile/soc/recreation-fitness-workers"
"1589579748-629","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Miscellaneous production workers, including semiconductor processorsDetailed Occupation","https://datausa.io/profile/soc/miscellaneous-production-workers-including-semiconductor-processors"
"1589579748-676","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Preschool & kindergarten teachersDetailed Occupation","https://datausa.io/profile/soc/preschool-kindergarten-teachers"
"1589579748-653","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Physicians & surgeonsDetailed Occupation","https://datausa.io/profile/soc/physicians-surgeons"
"1589579748-612","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Firstline supervisors of retail sales workersDetailed Occupation","https://datausa.io/profile/soc/firstline-supervisors-of-retail-sales-workers"
"1589579748-677","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Bus driversDetailed Occupation","https://datausa.io/profile/soc/bus-drivers"
"1589579748-628","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Firstline supervisors of office & administrative support workersDetailed Occupation","https://datausa.io/profile/soc/firstline-supervisors-of-office-administrative-support-workers"
"1589579748-650","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Firstline supervisors of production & operating workersDetailed Occupation","https://datausa.io/profile/soc/firstline-supervisors-of-production-operating-workers"
"1589579748-683","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Pipelayers, plumbers, pipefitters, & steamfittersDetailed Occupation","https://datausa.io/profile/soc/pipelayers-plumbers-pipefitters-steamfitters"
"1589579748-674","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Taxi drivers & chauffeursDetailed Occupation","https://datausa.io/profile/soc/taxi-drivers-chauffeurs"
"1589579748-611","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Registered nursesDetailed Occupation","https://datausa.io/profile/soc/registered-nurses"
"1589579748-666","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Other Computer OccupationsDetailed Occupation","https://datausa.io/profile/soc/other-computer-occupations"
"1589579748-615","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Laborers & freight, stock, & material movers, handDetailed Occupation","https://datausa.io/profile/soc/laborers-freight-stock-material-movers-hand"
"1589579748-688","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Miscellaneous engineers, including nuclear engineersDetailed Occupation","https://datausa.io/profile/soc/miscellaneous-engineers-including-nuclear-engineers"
