web-scraper-order,web-scraper-start-url,Products/ Services,Products/ Services-href
"1589579881-963","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Other home entertainment, recreation and culture productsNAPCS Class","https://datausa.io/profile/napcs/other-home-entertainment-recreation-and-culture-products"
"1589579881-908","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Communications and information and related servicesNAPCS Class","https://datausa.io/profile/napcs/communications-and-information-and-related-services"
"1589579881-933","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Maintenance and repair services for transportation equipmentNAPCS Class","https://datausa.io/profile/napcs/maintenance-and-repair-services-for-transportation-equipment"
"1589579881-914","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Apartment and nonresidential constructions and construction services NAPCS Class","https://datausa.io/profile/napcs/apartment-and-nonresidential-constructions-and-construction-services-"
"1589579881-929","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Scientific and technical servicesNAPCS Class","https://datausa.io/profile/napcs/scientific-and-technical-services-class"
"1589579881-976","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Event ticket sales and reservation servicesNAPCS Class","https://datausa.io/profile/napcs/event-ticket-sales-and-reservation-services"
"1589579881-932","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Public, community, and social services, nec., except public administration servicesNAPCS Class","https://datausa.io/profile/napcs/public-community-and-social-services-nec-except-public-administration-services-class"
"1589579881-938","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Agricultural, construction, forestry, mining, and oil and gas field machinery and equipmentNAPCS Class","https://datausa.io/profile/napcs/agricultural-construction-forestry-mining-and-oil-and-gas-field-machinery-and-equipment"
"1589579881-937","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Rental services for industrial, commercial, and service industry machinery and equipmentNAPCS Class","https://datausa.io/profile/napcs/rental-services-for-industrial-commercial-and-service-industry-machinery-and-equipment"
"1589579881-941","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Reservation service for passenger transportationNAPCS Class","https://datausa.io/profile/napcs/reservation-service-for-passenger-transportation"
"1589579881-916","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Management consulting services, except IT consultingNAPCS Class","https://datausa.io/profile/napcs/management-consulting-services-except-it-consulting"
"1589579881-959","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Performing arts, live events, and public exhibitions, and related productsNAPCS Class","https://datausa.io/profile/napcs/performing-arts-live-events-and-public-exhibitions-and-related-products"
"1589579881-924","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Materials and supplies for food manufacturing and food services, except processed food and beverage inputs for human food manufacturing and food servicesNAPCS Class","https://datausa.io/profile/napcs/materials-and-supplies-for-food-manufacturing-and-food-services-except-processed-food-and-beverage-inputs-for-human-food-manufacturing-and-food-services"
"1589579881-995","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Wholesaling services for clothing, footwear, and personal accessoriesNAPCS Class","https://datausa.io/profile/napcs/wholesaling-services-for-clothing-footwear-and-personal-accessories-class"
"1589579881-985","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Materials and supplies for textile millsNAPCS Class","https://datausa.io/profile/napcs/materials-and-supplies-for-textile-mills"
"1589579881-964","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Household pets and related productsNAPCS Class","https://datausa.io/profile/napcs/household-pets-and-related-products-class"
"1589579881-954","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Materials and supplies for agriculture, lawn and landscaping servicesNAPCS Class","https://datausa.io/profile/napcs/materials-and-supplies-for-agriculture-lawn-and-landscaping-services"
"1589579881-962","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Sightseeing servicesNAPCS Class","https://datausa.io/profile/napcs/sightseeing-services"
"1589579881-943","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Materials and supplies for clay, glass, cement, and other nonmetallic minerals products manufacturingNAPCS Class","https://datausa.io/profile/napcs/materials-and-supplies-for-clay-glass-cement-and-other-nonmetallic-minerals-products-manufacturing"
"1589579881-927","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Materials and supplies for electronic and electrical equipment, appliances, and component manufacturingNAPCS Class","https://datausa.io/profile/napcs/materials-and-supplies-for-electronic-and-electrical-equipment-appliances-and-component-manufacturing"
"1589579881-928","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Educational servicesNAPCS Class","https://datausa.io/profile/napcs/educational-services-class"
"1589579881-969","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Long-distance passenger transportation by roadNAPCS Class","https://datausa.io/profile/napcs/long-distance-passenger-transportation-by-road"
"1589579881-986","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Translation and interpretation and related servicesNAPCS Class","https://datausa.io/profile/napcs/translation-and-interpretation-and-related-services"
"1589579881-917","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Services related to nonresidential constructions, except construction servicesNAPCS Class","https://datausa.io/profile/napcs/services-related-to-nonresidential-constructions-except-construction-services"
"1589579881-998","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Other leisure and travel services, nec.NAPCS Class","https://datausa.io/profile/napcs/other-leisure-and-travel-services-nec"
"1589579881-991","https://datausa.io/search?q=&dimension=NAPCS&hierarchy=NAPCS%20Class","Wholesaling services for tobacco products and smoking accessoriesNAPCS Class","https://datausa.io/profile/napcs/wholesaling-services-for-tobacco-products-and-smoking-accessories"
