web-scraper-order,web-scraper-start-url,Universities
"1589579826-892","https://datausa.io/search?q=&dimension=University&hierarchy=University","California State University-SacramentoUniversity"
"1589579826-811","https://datausa.io/search?q=&dimension=University&hierarchy=University","The University of Texas at AustinUniversity"
"1589579826-895","https://datausa.io/search?q=&dimension=University&hierarchy=University","Georgia State UniversityUniversity"
"1589579826-903","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Illinois at ChicagoUniversity"
"1589579826-849","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of California-DavisUniversity"
"1589579826-815","https://datausa.io/search?q=&dimension=University&hierarchy=University","Ohio State University-Main CampusUniversity"
"1589579826-832","https://datausa.io/search?q=&dimension=University&hierarchy=University","The University of Texas at ArlingtonUniversity"
"1589579826-890","https://datausa.io/search?q=&dimension=University&hierarchy=University","Texas Tech UniversityUniversity"
"1589579826-863","https://datausa.io/search?q=&dimension=University&hierarchy=University","Temple UniversityUniversity"
"1589579826-904","https://datausa.io/search?q=&dimension=University&hierarchy=University","Brigham Young University-ProvoUniversity"
"1589579826-814","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Southern CaliforniaUniversity"
"1589579826-852","https://datausa.io/search?q=&dimension=University&hierarchy=University","California State University-NorthridgeUniversity"
"1589579826-869","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of North TexasUniversity"
"1589579826-819","https://datausa.io/search?q=&dimension=University&hierarchy=University","Florida International UniversityUniversity"
"1589579826-878","https://datausa.io/search?q=&dimension=University&hierarchy=University","Harvard UniversityUniversity"
"1589579826-834","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of California-BerkeleyUniversity"
"1589579826-872","https://datausa.io/search?q=&dimension=University&hierarchy=University","The University of AlabamaUniversity"
"1589579826-841","https://datausa.io/search?q=&dimension=University&hierarchy=University","Ashford UniversityUniversity"
"1589579826-839","https://datausa.io/search?q=&dimension=University&hierarchy=University","Indiana University-BloomingtonUniversity"
"1589579826-851","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of ArizonaUniversity"
"1589579826-827","https://datausa.io/search?q=&dimension=University&hierarchy=University","Valencia CollegeUniversity"
"1589579826-897","https://datausa.io/search?q=&dimension=University&hierarchy=University","Florida State College at JacksonvilleUniversity"
"1589579826-847","https://datausa.io/search?q=&dimension=University&hierarchy=University","Boston UniversityUniversity"
"1589579826-818","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Michigan-Ann ArborUniversity"
"1589579826-884","https://datausa.io/search?q=&dimension=University&hierarchy=University","Ultimate Medical Academy-TampaUniversity"
"1589579826-845","https://datausa.io/search?q=&dimension=University&hierarchy=University","Purdue University-Main CampusUniversity"
"1589579826-835","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of South Florida-Main CampusUniversity"
"1589579826-813","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Central FloridaUniversity"
"1589579826-810","https://datausa.io/search?q=&dimension=University&hierarchy=University","New York UniversityUniversity"
"1589579826-894","https://datausa.io/search?q=&dimension=University&hierarchy=University","Stony Brook UniversityUniversity"
"1589579826-893","https://datausa.io/search?q=&dimension=University&hierarchy=University","Washington State UniversityUniversity"
"1589579826-831","https://datausa.io/search?q=&dimension=University&hierarchy=University","Florida State UniversityUniversity"
"1589579826-808","https://datausa.io/search?q=&dimension=University&hierarchy=University","Grand Canyon UniversityUniversity"
"1589579826-807","https://datausa.io/search?q=&dimension=University&hierarchy=University","Ivy Tech Community CollegeUniversity"
"1589579826-882","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of UtahUniversity"
"1589579826-876","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of ConnecticutUniversity"
"1589579826-902","https://datausa.io/search?q=&dimension=University&hierarchy=University","Columbia Southern UniversityUniversity"
