web-scraper-order,web-scraper-start-url,States,States-href
"1589579638-497","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","AlaskaState","https://datausa.io/profile/geo/alaska"
"1589579638-496","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","North DakotaState","https://datausa.io/profile/geo/north-dakota"
"1589579638-493","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","MontanaState","https://datausa.io/profile/geo/montana"
"1589579638-503","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","Commonwealth of the Northern Mariana IslandsState","https://datausa.io/profile/geo/commonwealth-of-the-northern-mariana-islands"
"1589579638-462","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","ArizonaState","https://datausa.io/profile/geo/arizona"
"1589579638-464","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","IndianaState","https://datausa.io/profile/geo/indiana"
"1589579638-486","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","NebraskaState","https://datausa.io/profile/geo/nebraska"
"1589579638-457","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","North CarolinaState","https://datausa.io/profile/geo/north-carolina"
"1589579638-499","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","VermontState","https://datausa.io/profile/geo/vermont"
"1589579638-483","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","KansasState","https://datausa.io/profile/geo/kansas"
"1589579638-489","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","HawaiiState","https://datausa.io/profile/geo/hawaii"
"1589579638-490","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","New HampshireState","https://datausa.io/profile/geo/new-hampshire"
"1589579638-502","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","GuamState","https://datausa.io/profile/geo/guam"
"1589579638-469","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","MinnesotaState","https://datausa.io/profile/geo/minnesota"
"1589579638-504","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","United States Virgin IslandsState","https://datausa.io/profile/geo/united-states-virgin-islands"
"1589579638-467","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","MarylandState","https://datausa.io/profile/geo/maryland"
"1589579638-487","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","West VirginiaState","https://datausa.io/profile/geo/west-virginia"
"1589579638-476","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","OklahomaState","https://datausa.io/profile/geo/oklahoma"
"1589579638-475","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","OregonState","https://datausa.io/profile/geo/oregon"
"1589579638-466","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","MissouriState","https://datausa.io/profile/geo/missouri"
"1589579638-481","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","MississippiState","https://datausa.io/profile/geo/mississippi"
"1589579638-492","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","Rhode IslandState","https://datausa.io/profile/geo/rhode-island"
"1589579638-473","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","LouisianaState","https://datausa.io/profile/geo/louisiana"
"1589579638-452","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","New YorkState","https://datausa.io/profile/geo/new-york"
"1589579638-455","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","OhioState","https://datausa.io/profile/geo/ohio"
"1589579638-468","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","WisconsinState","https://datausa.io/profile/geo/wisconsin"
"1589579638-485","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","New MexicoState","https://datausa.io/profile/geo/new-mexico"
"1589579638-449","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","CaliforniaState","https://datausa.io/profile/geo/california"
"1589579638-479","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","IowaState","https://datausa.io/profile/geo/iowa"
"1589579638-471","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","South CarolinaState","https://datausa.io/profile/geo/south-carolina"
"1589579638-480","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","UtahState","https://datausa.io/profile/geo/utah"
"1589579638-494","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","DelawareState","https://datausa.io/profile/geo/delaware"
"1589579638-472","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","AlabamaState","https://datausa.io/profile/geo/alabama"
"1589579638-470","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","ColoradoState","https://datausa.io/profile/geo/colorado"
"1589579638-495","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","South DakotaState","https://datausa.io/profile/geo/south-dakota"
"1589579638-460","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","VirginiaState","https://datausa.io/profile/geo/virginia"
"1589579638-465","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","TennesseeState","https://datausa.io/profile/geo/tennessee"
"1589579638-456","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","GeorgiaState","https://datausa.io/profile/geo/georgia"
"1589579638-500","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","WyomingState","https://datausa.io/profile/geo/wyoming"
"1589579638-463","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","MassachusettsState","https://datausa.io/profile/geo/massachusetts"
"1589579638-453","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","IllinoisState","https://datausa.io/profile/geo/illinois"
"1589579638-488","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","IdahoState","https://datausa.io/profile/geo/idaho"
"1589579638-458","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","MichiganState","https://datausa.io/profile/geo/michigan"
"1589579638-491","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","MaineState","https://datausa.io/profile/geo/maine"
"1589579638-474","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","KentuckyState","https://datausa.io/profile/geo/kentucky"
"1589579638-477","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","ConnecticutState","https://datausa.io/profile/geo/connecticut"
"1589579638-501","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","American SamoaState","https://datausa.io/profile/geo/american-samoa"
"1589579638-451","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","FloridaState","https://datausa.io/profile/geo/florida"
"1589579638-459","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","New JerseyState","https://datausa.io/profile/geo/new-jersey"
"1589579638-484","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","NevadaState","https://datausa.io/profile/geo/nevada"
"1589579638-461","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","WashingtonState","https://datausa.io/profile/geo/washington"
"1589579638-454","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","PennsylvaniaState","https://datausa.io/profile/geo/pennsylvania"
"1589579638-498","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","District of ColumbiaState","https://datausa.io/profile/geo/district-of-columbia"
"1589579638-482","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","ArkansasState","https://datausa.io/profile/geo/arkansas"
"1589579638-478","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","Puerto RicoState","https://datausa.io/profile/geo/puerto-rico"
"1589579638-450","https://datausa.io/search/?q=&dimension=Geography&hierarchy=State","TexasState","https://datausa.io/profile/geo/texas"
